"","FinancialYear","CA","AllLiveBirths","AppropriateWeightCount","AppropriateWeightProportion"
"1","2008/09","S12000005",594,520,87.5420875420875
"2","2008/09","S12000006",1368,1224,89.4736842105263
"3","2008/09","S12000008",1341,1181,88.0686055182699
"4","2008/09","S12000010",981,881,89.8063200815494
"5","2008/09","S12000011",785,701,89.2993630573248
"6","2008/09","S12000013",237,202,85.2320675105485
"7","2008/09","S12000014",1785,1595,89.3557422969188
"8","2008/09","S12000017",2394,2146,89.640768588137
"9","2008/09","S12000018",816,726,88.9705882352941
"10","2008/09","S12000019",833,719,86.3145258103241
"11","2008/09","S12000020",942,861,91.4012738853503
"12","2008/09","S12000021",1406,1249,88.8335704125178
"13","2008/09","S12000023",195,177,90.7692307692308
"14","2008/09","S12000026",1070,960,89.7196261682243
"15","2008/09","S12000027",245,218,88.9795918367347
"16","2008/09","S12000028",1035,929,89.7584541062802
"17","2008/09","S12000029",3240,2886,89.0740740740741
"18","2008/09","S12000030",800,709,88.625
"19","2008/09","S12000033",2424,2172,89.6039603960396
"20","2008/09","S12000034",2657,2368,89.1230711328566
"21","2008/09","S12000035",739,659,89.1745602165088
"22","2008/09","S12000036",5199,4563,87.7668782458165
"23","2008/09","S12000038",1857,1674,90.1453957996769
"24","2008/09","S12000039",1025,917,89.4634146341463
"25","2008/09","S12000040",2205,1928,87.437641723356
"26","2008/09","S12000041",1143,1035,90.5511811023622
"27","2008/09","S12000042",1720,1541,89.5930232558139
"28","2008/09","S12000045",946,834,88.1606765327696
"29","2008/09","S12000047",4083,3541,86.7254469752633
"30","2008/09","S12000048",1320,1171,88.7121212121212
"31","2008/09","S12000049",7204,6429,89.2420877290394
"32","2008/09","S12000050",3848,3420,88.8773388773389
"33","2009/10","S12000005",558,498,89.247311827957
"34","2009/10","S12000006",1410,1259,89.290780141844
"35","2009/10","S12000008",1282,1150,89.7035881435257
"36","2009/10","S12000010",779,696,89.3453145057766
"37","2009/10","S12000011",769,681,88.556566970091
"38","2009/10","S12000013",214,184,85.981308411215
"39","2009/10","S12000014",1795,1586,88.3565459610028
"40","2009/10","S12000017",2246,2012,89.5814781834372
"41","2009/10","S12000018",792,710,89.6464646464647
"42","2009/10","S12000019",834,739,88.6091127098321
"43","2009/10","S12000020",919,826,89.8803046789989
"44","2009/10","S12000021",1411,1257,89.0857547838412
"45","2009/10","S12000023",184,160,86.9565217391304
"46","2009/10","S12000026",1041,931,89.433237271854
"47","2009/10","S12000027",273,248,90.8424908424908
"48","2009/10","S12000028",968,871,89.9793388429752
"49","2009/10","S12000029",3129,2764,88.3349312879514
"50","2009/10","S12000030",850,764,89.8823529411765
"51","2009/10","S12000033",2513,2263,90.0517309988062
"52","2009/10","S12000034",2741,2460,89.748267055819
"53","2009/10","S12000035",740,662,89.4594594594595
"54","2009/10","S12000036",5393,4835,89.6532542184313
"55","2009/10","S12000038",1823,1632,89.5227646736149
"56","2009/10","S12000039",1024,891,87.01171875
"57","2009/10","S12000040",1935,1746,90.2325581395349
"58","2009/10","S12000041",1073,970,90.4007455731594
"59","2009/10","S12000042",1705,1523,89.3255131964809
"60","2009/10","S12000045",910,807,88.6813186813187
"61","2009/10","S12000047",4024,3578,88.9165009940358
"62","2009/10","S12000048",1397,1241,88.8332140300644
"63","2009/10","S12000049",7402,6559,88.6111861659011
"64","2009/10","S12000050",3773,3356,88.9477869069706
"65","2010/11","S12000005",599,536,89.4824707846411
"66","2010/11","S12000006",1367,1200,87.7834674469642
"67","2010/11","S12000008",1278,1150,89.9843505477308
"68","2010/11","S12000010",846,758,89.5981087470449
"69","2010/11","S12000011",792,706,89.1414141414141
"70","2010/11","S12000013",204,184,90.1960784313726
"71","2010/11","S12000014",1706,1528,89.5662368112544
"72","2010/11","S12000017",2301,2081,90.438939591482
"73","2010/11","S12000018",766,708,92.4281984334204
"74","2010/11","S12000019",804,720,89.5522388059701
"75","2010/11","S12000020",871,786,90.2411021814007
"76","2010/11","S12000021",1437,1265,88.0306193458594
"77","2010/11","S12000023",186,168,90.3225806451613
"78","2010/11","S12000026",1042,933,89.5393474088292
"79","2010/11","S12000027",237,216,91.1392405063291
"80","2010/11","S12000028",1054,944,89.5635673624288
"81","2010/11","S12000029",3253,2906,89.3329234552721
"82","2010/11","S12000030",807,714,88.4758364312268
"83","2010/11","S12000033",2584,2323,89.8993808049536
"84","2010/11","S12000034",2516,2276,90.4610492845787
"85","2010/11","S12000035",698,628,89.9713467048711
"86","2010/11","S12000036",5574,5014,89.9533548618586
"87","2010/11","S12000038",1830,1643,89.7814207650273
"88","2010/11","S12000039",991,895,90.3128153380424
"89","2010/11","S12000040",1922,1721,89.5421436004162
"90","2010/11","S12000041",1088,971,89.2463235294118
"91","2010/11","S12000042",1656,1502,90.7004830917874
"92","2010/11","S12000045",917,809,88.2224645583424
"93","2010/11","S12000047",4022,3528,87.717553455992
"94","2010/11","S12000048",1413,1278,90.4458598726115
"95","2010/11","S12000049",7232,6477,89.5602876106195
"96","2010/11","S12000050",3634,3211,88.3599339570721
"97","2011/12","S12000005",562,496,88.2562277580071
"98","2011/12","S12000006",1344,1210,90.0297619047619
"99","2011/12","S12000008",1326,1180,88.9894419306184
