"","Year","CA","Value","CPP","FG","Indicator","Type"
"1","2008/09","S12000005",87.5420875420875,"Clackmannanshire",3,"Healthy Birthweight","Raw"
"2","2008/09","S12000006",89.4736842105263,"Dumfries and Galloway",3,"Healthy Birthweight","Raw"
"3","2008/09","S12000008",88.0686055182699,"East Ayrshire",4,"Healthy Birthweight","Raw"
"4","2008/09","S12000010",89.8063200815494,"East Lothian",2,"Healthy Birthweight","Raw"
"5","2008/09","S12000011",89.2993630573248,"East Renfrewshire",1,"Healthy Birthweight","Raw"
"6","2008/09","S12000013",85.2320675105485,"Eilean Siar",4,"Healthy Birthweight","Raw"
"7","2008/09","S12000014",89.3557422969188,"Falkirk",3,"Healthy Birthweight","Raw"
"8","2008/09","S12000017",89.640768588137,"Highland",2,"Healthy Birthweight","Raw"
"9","2008/09","S12000018",88.9705882352941,"Inverclyde",4,"Healthy Birthweight","Raw"
"10","2008/09","S12000019",86.3145258103241,"Midlothian",2,"Healthy Birthweight","Raw"
"11","2008/09","S12000020",91.4012738853503,"Moray",2,"Healthy Birthweight","Raw"
"12","2008/09","S12000021",88.8335704125178,"North Ayrshire",4,"Healthy Birthweight","Raw"
"13","2008/09","S12000023",90.7692307692308,"Orkney Islands",1,"Healthy Birthweight","Raw"
"14","2008/09","S12000026",89.7196261682243,"Scottish Borders",2,"Healthy Birthweight","Raw"
"15","2008/09","S12000027",88.9795918367347,"Shetland Islands",1,"Healthy Birthweight","Raw"
"16","2008/09","S12000028",89.7584541062802,"South Ayrshire",3,"Healthy Birthweight","Raw"
"17","2008/09","S12000029",89.0740740740741,"South Lanarkshire",3,"Healthy Birthweight","Raw"
"18","2008/09","S12000030",88.625,"Stirling",2,"Healthy Birthweight","Raw"
"19","2008/09","S12000033",89.6039603960396,"Aberdeen City",1,"Healthy Birthweight","Raw"
"20","2008/09","S12000034",89.1230711328566,"Aberdeenshire",1,"Healthy Birthweight","Raw"
"21","2008/09","S12000035",89.1745602165088,"Argyll and Bute",2,"Healthy Birthweight","Raw"
"22","2008/09","S12000036",87.7668782458165,"Edinburgh, City of",1,"Healthy Birthweight","Raw"
"23","2008/09","S12000038",90.1453957996769,"Renfrewshire",3,"Healthy Birthweight","Raw"
"24","2008/09","S12000039",89.4634146341463,"West Dunbartonshire",4,"Healthy Birthweight","Raw"
"25","2008/09","S12000040",87.437641723356,"West Lothian",3,"Healthy Birthweight","Raw"
"26","2008/09","S12000041",90.5511811023622,"Angus",2,"Healthy Birthweight","Raw"
"27","2008/09","S12000042",89.5930232558139,"Dundee City",4,"Healthy Birthweight","Raw"
"28","2008/09","S12000045",88.1606765327696,"East Dunbartonshire",1,"Healthy Birthweight","Raw"
"29","2008/09","S12000047",86.7254469752633,"Fife",3,"Healthy Birthweight","Raw"
"30","2008/09","S12000048",88.7121212121212,"Perth and Kinross",1,"Healthy Birthweight","Raw"
"31","2008/09","S12000049",89.2420877290394,"Glasgow City",4,"Healthy Birthweight","Raw"
"32","2008/09","S12000050",88.8773388773389,"North Lanarkshire",4,"Healthy Birthweight","Raw"
"33","2009/10","S12000005",89.247311827957,"Clackmannanshire",3,"Healthy Birthweight","Raw"
"34","2009/10","S12000006",89.290780141844,"Dumfries and Galloway",3,"Healthy Birthweight","Raw"
"35","2009/10","S12000008",89.7035881435257,"East Ayrshire",4,"Healthy Birthweight","Raw"
