"","CPP","Year","value"
"1","Aberdeen City","2014/15",3312
"2","Aberdeen City","2015/16",3756
"3","Aberdeen City","2016/17",4552
"4","Aberdeen City","2017/18",5251
"5","Aberdeen City","2018/19",5235
"6","Aberdeen City","2019/20",5349
"7","Aberdeen City","2020/21",4736
"8","Aberdeenshire","2014/15",3675
"9","Aberdeenshire","2015/16",4136
"10","Aberdeenshire","2016/17",4761
"11","Aberdeenshire","2017/18",5110
"12","Aberdeenshire","2018/19",4926
"13","Aberdeenshire","2019/20",5271
"14","Aberdeenshire","2020/21",4739
"15","Angus","2014/15",2579
"16","Angus","2015/16",2611
"17","Angus","2016/17",3051
"18","Angus","2017/18",3369
"19","Angus","2018/19",3377
"20","Angus","2019/20",3455
"21","Angus","2020/21",2949
"22","Argyll and Bute","2014/15",1733
"23","Argyll and Bute","2015/16",1775
"24","Argyll and Bute","2016/17",1989
"25","Argyll and Bute","2017/18",2211
"26","Argyll and Bute","2018/19",2160
"27","Argyll and Bute","2019/20",2214
"28","Argyll and Bute","2020/21",1736
"29","City of Edinburgh","2014/15",7560
"30","City of Edinburgh","2015/16",7738
"31","City of Edinburgh","2016/17",8957
"32","City of Edinburgh","2017/18",9961
"33","City of Edinburgh","2018/19",9561
"34","City of Edinburgh","2019/20",10020
"35","City of Edinburgh","2020/21",8972
"36","Clackmannanshire","2014/15",1502
"37","Clackmannanshire","2015/16",1555
"38","Clackmannanshire","2016/17",1737
"39","Clackmannanshire","2017/18",1971
"40","Clackmannanshire","2018/19",1871
"41","Clackmannanshire","2019/20",2034
"42","Clackmannanshire","2020/21",1677
"43","Dumfries and Galloway","2014/15",3854
"44","Dumfries and Galloway","2015/16",3989
"45","Dumfries and Galloway","2016/17",4322
"46","Dumfries and Galloway","2017/18",4854
"47","Dumfries and Galloway","2018/19",4685
"48","Dumfries and Galloway","2019/20",5169
"49","Dumfries and Galloway","2020/21",4237
"50","Dundee City","2014/15",3892
"51","Dundee City","2015/16",3924
"52","Dundee City","2016/17",4713
"53","Dundee City","2017/18",5231
"54","Dundee City","2018/19",5102
"55","Dundee City","2019/20",5217
"56","Dundee City","2020/21",4224
"57","East Ayrshire","2014/15",3743
"58","East Ayrshire","2015/16",3867
"59","East Ayrshire","2016/17",4294
"60","East Ayrshire","2017/18",4709
"61","East Ayrshire","2018/19",4750
"62","East Ayrshire","2019/20",4923
"63","East Ayrshire","2020/21",4143
"64","East Dunbartonshire","2014/15",1543
"65","East Dunbartonshire","2015/16",1605
"66","East Dunbartonshire","2016/17",1825
"67","East Dunbartonshire","2017/18",1845
"68","East Dunbartonshire","2018/19",1776
"69","East Dunbartonshire","2019/20",2013
"70","East Dunbartonshire","2020/21",1619
"71","East Lothian","2014/15",2351
"72","East Lothian","2015/16",2433
"73","East Lothian","2016/17",2686
"74","East Lothian","2017/18",2859
"75","East Lothian","2018/19",2749
"76","East Lothian","2019/20",3040
"77","East Lothian","2020/21",2485
"78","East Renfrewshire","2014/15",1531
"79","East Renfrewshire","2015/16",1594
"80","East Renfrewshire","2016/17",1698
"81","East Renfrewshire","2017/18",1839
"82","East Renfrewshire","2018/19",1890
"83","East Renfrewshire","2019/20",2046
"84","East Renfrewshire","2020/21",1758
"85","Falkirk","2014/15",4221
"86","Falkirk","2015/16",4153
"87","Falkirk","2016/17",4622
"88","Falkirk","2017/18",5010
"89","Falkirk","2018/19",5155
"90","Falkirk","2019/20",5400
"91","Falkirk","2020/21",4529
"92","Fife","2014/15",10335
"93","Fife","2015/16",10592
