"","CPP","Year","value","Indicator","Type"
"1","Aberdeen City","2011/12-2013/14",5.36489795918367,"Attainment","Raw"
"2","Aberdeen City","2012/13-2014/15",5.37877551020408,"Attainment","Raw"
"3","Aberdeen City","2013/14-2015/16",5.43591836734694,"Attainment","Raw"
"4","Aberdeen City","2014/15-2016/17",5.43897959183673,"Attainment","Raw"
"5","Aberdeen City","2015/16-2017/18",5.4630612244898,"Attainment","Raw"
"6","Aberdeen City","2016/17-2018/19",5.43221448979592,"Attainment","Raw"
"7","Aberdeen City","2017/18-2019/20",5.47610224489796,"Attainment","Raw"
"8","Aberdeenshire","2011/12-2013/14",5.44271186440678,"Attainment","Raw"
"9","Aberdeenshire","2012/13-2014/15",5.46694915254237,"Attainment","Raw"
"10","Aberdeenshire","2013/14-2015/16",5.49610169491525,"Attainment","Raw"
"11","Aberdeenshire","2014/15-2016/17",5.56322033898305,"Attainment","Raw"
"12","Aberdeenshire","2015/16-2017/18",5.5806779661017,"Attainment","Raw"
"13","Aberdeenshire","2016/17-2018/19",5.5521613559322,"Attainment","Raw"
"14","Aberdeenshire","2017/18-2019/20",5.55609627118644,"Attainment","Raw"
"15","Angus","2011/12-2013/14",5.50153846153846,"Attainment","Raw"
"16","Angus","2012/13-2014/15",5.54807692307692,"Attainment","Raw"
"17","Angus","2013/14-2015/16",5.54346153846154,"Attainment","Raw"
"18","Angus","2014/15-2016/17",5.54692307692308,"Attainment","Raw"
"19","Angus","2015/16-2017/18",5.52884615384615,"Attainment","Raw"
"20","Angus","2016/17-2018/19",5.49265076923077,"Attainment","Raw"
"21","Angus","2017/18-2019/20",5.47611038461538,"Attainment","Raw"
"22","Argyll and Bute","2011/12-2013/14",5.6104347826087,"Attainment","Raw"
"23","Argyll and Bute","2012/13-2014/15",5.59086956521739,"Attainment","Raw"
"24","Argyll and Bute","2013/14-2015/16",5.58739130434783,"Attainment","Raw"
"25","Argyll and Bute","2014/15-2016/17",5.59608695652174,"Attainment","Raw"
"26","Argyll and Bute","2015/16-2017/18",5.63130434782609,"Attainment","Raw"
"27","Argyll and Bute","2016/17-2018/19",5.62352434782609,"Attainment","Raw"
"28","Argyll and Bute","2017/18-2019/20",5.64031217391304,"Attainment","Raw"
"29","Clackmannanshire","2011/12-2013/14",5.39833333333333,"Attainment","Raw"
"30","Clackmannanshire","2012/13-2014/15",5.41583333333333,"Attainment","Raw"
"31","Clackmannanshire","2013/14-2015/16",5.40916666666667,"Attainment","Raw"
"32","Clackmannanshire","2014/15-2016/17",5.40833333333333,"Attainment","Raw"
"33","Clackmannanshire","2015/16-2017/18",5.38916666666667,"Attainment","Raw"
"34","Clackmannanshire","2016/17-2018/19",5.37713333333333,"Attainment","Raw"
"35","Clackmannanshire","2017/18-2019/20",5.36015083333333,"Attainment","Raw"
"36","Dumfries and Galloway","2011/12-2013/14",5.555,"Attainment","Raw"
"37","Dumfries and Galloway","2012/13-2014/15",5.58625,"Attainment","Raw"
"38","Dumfries and Galloway","2013/14-2015/16",5.5935,"Attainment","Raw"
"39","Dumfries and Galloway","2014/15-2016/17",5.60525,"Attainment","Raw"
"40","Dumfries and Galloway","2015/16-2017/18",5.58475,"Attainment","Raw"
"41","Dumfries and Galloway","2016/17-2018/19",5.55491825,"Attainment","Raw"
"42","Dumfries and Galloway","2017/18-2019/20",5.5556965,"Attainment","Raw"
"43","Dundee City","2011/12-2013/14",5.35322580645161,"Attainment","Raw"
"44","Dundee City","2012/13-2014/15",5.28193548387097,"Attainment","Raw"
"45","Dundee City","2013/14-2015/16",5.23225806451613,"Attainment","Raw"
"46","Dundee City","2014/15-2016/17",5.23225806451613,"Attainment","Raw"
"47","Dundee City","2015/16-2017/18",5.17677419354839,"Attainment","Raw"
"48","Dundee City","2016/17-2018/19",5.14339709677419,"Attainment","Raw"
"49","Dundee City","2017/18-2019/20",5.14905225806452,"Attainment","Raw"
"50","East Ayrshire","2011/12-2013/14",5.39066666666667,"Attainment","Raw"
"51","East Ayrshire","2012/13-2014/15",5.39166666666667,"Attainment","Raw"
"52","East Ayrshire","2013/14-2015/16",5.39466666666667,"Attainment","Raw"
"53","East Ayrshire","2014/15-2016/17",5.37533333333333,"Attainment","Raw"
"54","East Ayrshire","2015/16-2017/18",5.39633333333333,"Attainment","Raw"
"55","East Ayrshire","2016/17-2018/19",5.374865,"Attainment","Raw"
"56","East Ayrshire","2017/18-2019/20",5.36933,"Attainment","Raw"
"57","East Dunbartonshire","2011/12-2013/14",5.99785714285714,"Attainment","Raw"
"58","East Dunbartonshire","2012/13-2014/15",6.01785714285714,"Attainment","Raw"
"59","East Dunbartonshire","2013/14-2015/16",6.0125,"Attainment","Raw"
"60","East Dunbartonshire","2014/15-2016/17",6.05464285714286,"Attainment","Raw"
"61","East Dunbartonshire","2015/16-2017/18",6.0675,"Attainment","Raw"
"62","East Dunbartonshire","2016/17-2018/19",6.06667714285714,"Attainment","Raw"
"63","East Dunbartonshire","2017/18-2019/20",6.08208285714286,"Attainment","Raw"
"64","East Lothian","2011/12-2013/14",5.535,"Attainment","Raw"
"65","East Lothian","2012/13-2014/15",5.53136363636364,"Attainment","Raw"
"66","East Lothian","2013/14-2015/16",5.57090909090909,"Attainment","Raw"
"67","East Lothian","2014/15-2016/17",5.59090909090909,"Attainment","Raw"
"68","East Lothian","2015/16-2017/18",5.58272727272727,"Attainment","Raw"
"69","East Lothian","2016/17-2018/19",5.57228409090909,"Attainment","Raw"
"70","East Lothian","2017/18-2019/20",5.56362045454545,"Attainment","Raw"
"71","East Renfrewshire","2011/12-2013/14",6.078,"Attainment","Raw"
"72","East Renfrewshire","2012/13-2014/15",6.0885,"Attainment","Raw"
"73","East Renfrewshire","2013/14-2015/16",6.106,"Attainment","Raw"
"74","East Renfrewshire","2014/15-2016/17",6.112,"Attainment","Raw"
"75","East Renfrewshire","2015/16-2017/18",6.1205,"Attainment","Raw"
"76","East Renfrewshire","2016/17-2018/19",6.1045435,"Attainment","Raw"
"77","East Renfrewshire","2017/18-2019/20",6.1335945,"Attainment","Raw"
"78","Edinburgh, City of","2011/12-2013/14",5.56288288288288,"Attainment","Raw"
"79","Edinburgh, City of","2012/13-2014/15",5.56621621621622,"Attainment","Raw"
"80","Edinburgh, City of","2013/14-2015/16",5.57216216216216,"Attainment","Raw"
"81","Edinburgh, City of","2014/15-2016/17",5.5836036036036,"Attainment","Raw"
"82","Edinburgh, City of","2015/16-2017/18",5.59153153153153,"Attainment","Raw"
"83","Edinburgh, City of","2016/17-2018/19",5.60239504504505,"Attainment","Raw"
"84","Edinburgh, City of","2017/18-2019/20",5.6571636036036,"Attainment","Raw"
"85","Eilean Siar","2011/12-2013/14",5.70222222222222,"Attainment","Raw"
"86","Eilean Siar","2012/13-2014/15",5.72333333333333,"Attainment","Raw"
"87","Eilean Siar","2013/14-2015/16",5.73111111111111,"Attainment","Raw"
"88","Eilean Siar","2014/15-2016/17",5.76777777777778,"Attainment","Raw"
"89","Eilean Siar","2015/16-2017/18",5.76666666666667,"Attainment","Raw"
"90","Eilean Siar","2016/17-2018/19",5.72216777777778,"Attainment","Raw"
"91","Eilean Siar","2017/18-2019/20",5.73294333333333,"Attainment","Raw"
"92","Falkirk","2011/12-2013/14",5.47452380952381,"Attainment","Raw"
"93","Falkirk","2012/13-2014/15",5.40285714285714,"Attainment","Raw"
"94","Falkirk","2013/14-2015/16",5.41571428571429,"Attainment","Raw"
"95","Falkirk","2014/15-2016/17",5.43428571428571,"Attainment","Raw"
"96","Falkirk","2015/16-2017/18",5.53357142857143,"Attainment","Raw"
"97","Falkirk","2016/17-2018/19",5.54356380952381,"Attainment","Raw"
"98","Falkirk","2017/18-2019/20",5.575935,"Attainment","Raw"
"99","Fife","2011/12-2013/14",5.41038461538462,"Attainment","Raw"
"100","Fife","2012/13-2014/15",5.44519230769231,"Attainment","Raw"
"101","Fife","2013/14-2015/16",5.46365384615385,"Attainment","Raw"
"102","Fife","2014/15-2016/17",5.44153846153846,"Attainment","Raw"
"103","Fife","2015/16-2017/18",5.44894230769231,"Attainment","Raw"
"104","Fife","2016/17-2018/19",5.44177548076923,"Attainment","Raw"
"105","Fife","2017/18-2019/20",5.44397682692308,"Attainment","Raw"
"106","Glasgow City","2011/12-2013/14",5.25036764705882,"Attainment","Raw"
"107","Glasgow City","2012/13-2014/15",5.30389705882353,"Attainment","Raw"
"108","Glasgow City","2013/14-2015/16",5.33007352941176,"Attainment","Raw"
"109","Glasgow City","2014/15-2016/17",5.35352941176471,"Attainment","Raw"
"110","Glasgow City","2015/16-2017/18",5.38492647058824,"Attainment","Raw"
"111","Glasgow City","2016/17-2018/19",5.40475352941176,"Attainment","Raw"
"112","Glasgow City","2017/18-2019/20",5.43891764705882,"Attainment","Raw"
"113","Highland","2011/12-2013/14",5.50035714285714,"Attainment","Raw"
"114","Highland","2012/13-2014/15",5.49178571428571,"Attainment","Raw"
"115","Highland","2013/14-2015/16",5.48107142857143,"Attainment","Raw"
"116","Highland","2014/15-2016/17",5.48428571428571,"Attainment","Raw"
"117","Highland","2015/16-2017/18",5.51410714285714,"Attainment","Raw"
"118","Highland","2016/17-2018/19",5.50008303571429,"Attainment","Raw"
"119","Highland","2017/18-2019/20",5.53340178571429,"Attainment","Raw"
"120","Inverclyde","2011/12-2013/14",5.61647058823529,"Attainment","Raw"
"121","Inverclyde","2012/13-2014/15",5.61764705882353,"Attainment","Raw"
"122","Inverclyde","2013/14-2015/16",5.57705882352941,"Attainment","Raw"
"123","Inverclyde","2014/15-2016/17",5.59647058823529,"Attainment","Raw"
"124","Inverclyde","2015/16-2017/18",5.62529411764706,"Attainment","Raw"
"125","Inverclyde","2016/17-2018/19",5.64316058823529,"Attainment","Raw"
"126","Inverclyde","2017/18-2019/20",5.67370294117647,"Attainment","Raw"
"127","Midlothian","2011/12-2013/14",5.41636363636364,"Attainment","Raw"
"128","Midlothian","2012/13-2014/15",5.41363636363636,"Attainment","Raw"
"129","Midlothian","2013/14-2015/16",5.41363636363636,"Attainment","Raw"
"130","Midlothian","2014/15-2016/17",5.43363636363636,"Attainment","Raw"
"131","Midlothian","2015/16-2017/18",5.43409090909091,"Attainment","Raw"
"132","Midlothian","2016/17-2018/19",5.42993818181818,"Attainment","Raw"
"133","Midlothian","2017/18-2019/20",5.44024681818182,"Attainment","Raw"
"134","Moray","2011/12-2013/14",5.5175,"Attainment","Raw"
"135","Moray","2012/13-2014/15",5.55458333333333,"Attainment","Raw"
"136","Moray","2013/14-2015/16",5.56416666666667,"Attainment","Raw"
"137","Moray","2014/15-2016/17",5.51875,"Attainment","Raw"
"138","Moray","2015/16-2017/18",5.48375,"Attainment","Raw"
"139","Moray","2016/17-2018/19",5.4339225,"Attainment","Raw"
"140","Moray","2017/18-2019/20",5.4302725,"Attainment","Raw"
"141","North Ayrshire","2011/12-2013/14",5.41421052631579,"Attainment","Raw"
"142","North Ayrshire","2012/13-2014/15",5.42026315789474,"Attainment","Raw"
"143","North Ayrshire","2013/14-2015/16",5.41342105263158,"Attainment","Raw"
"144","North Ayrshire","2014/15-2016/17",5.43052631578947,"Attainment","Raw"
"145","North Ayrshire","2015/16-2017/18",5.47973684210526,"Attainment","Raw"
"146","North Ayrshire","2016/17-2018/19",5.47342921052632,"Attainment","Raw"
"147","North Ayrshire","2017/18-2019/20",5.50264105263158,"Attainment","Raw"
"148","North Lanarkshire","2011/12-2013/14",5.39435897435897,"Attainment","Raw"
"149","North Lanarkshire","2012/13-2014/15",5.40602564102564,"Attainment","Raw"
"150","North Lanarkshire","2013/14-2015/16",5.37794871794872,"Attainment","Raw"
"151","North Lanarkshire","2014/15-2016/17",5.36782051282051,"Attainment","Raw"
"152","North Lanarkshire","2015/16-2017/18",5.35910256410256,"Attainment","Raw"
"153","North Lanarkshire","2016/17-2018/19",5.33069384615385,"Attainment","Raw"
"154","North Lanarkshire","2017/18-2019/20",5.3483591025641,"Attainment","Raw"
"155","Orkney Islands","2011/12-2013/14",5.61833333333333,"Attainment","Raw"
"156","Orkney Islands","2012/13-2014/15",5.615,"Attainment","Raw"
"157","Orkney Islands","2013/14-2015/16",5.67,"Attainment","Raw"
"158","Orkney Islands","2014/15-2016/17",5.65833333333333,"Attainment","Raw"
"159","Orkney Islands","2015/16-2017/18",5.63,"Attainment","Raw"
"160","Orkney Islands","2016/17-2018/19",5.64052333333333,"Attainment","Raw"
"161","Orkney Islands","2017/18-2019/20",5.6446,"Attainment","Raw"
