"CPP","s_code","year","3ya"
"Aberdeen City","S12000033","2005-2006",77.0666666666667
"Aberdeen City","S12000033","2006-2007",77.9
"Aberdeen City","S12000033","2007-2008",78.4
"Aberdeen City","S12000033","2008-2009",78.2666666666667
"Aberdeen City","S12000033","2009-2010",78.1
"Aberdeen City","S12000033","2010-2011",76.9333333333333
"Aberdeen City","S12000033","2011-2012",76.0333333333333
"Aberdeen City","S12000033","2012-2013",75.2333333333333
"Aberdeen City","S12000033","2013-2014",75.9
"Aberdeen City","S12000033","2014-2015",76.1
"Aberdeen City","S12000033","2015-2016",75.4666666666667
"Aberdeen City","S12000033","2016-2017",74.8666666666667
"Aberdeen City","S12000033","2017-2018",74.5333333333333
"Aberdeen City","S12000033","2018-2019",76.4666666666667
"Aberdeen City","S12000033","2019-2020",76
"Aberdeenshire","S12000034","2005-2006",78.6333333333333
"Aberdeenshire","S12000034","2006-2007",79.6666666666667
"Aberdeenshire","S12000034","2007-2008",80.4
"Aberdeenshire","S12000034","2008-2009",80.2
"Aberdeenshire","S12000034","2009-2010",80.4666666666667
"Aberdeenshire","S12000034","2010-2011",79.8666666666667
"Aberdeenshire","S12000034","2011-2012",80.3
"Aberdeenshire","S12000034","2012-2013",79.5333333333333
"Aberdeenshire","S12000034","2013-2014",80.3333333333333
"Aberdeenshire","S12000034","2014-2015",80
"Aberdeenshire","S12000034","2015-2016",79.7333333333333
"Aberdeenshire","S12000034","2016-2017",79.8333333333333
"Aberdeenshire","S12000034","2017-2018",80.0666666666667
"Aberdeenshire","S12000034","2018-2019",81.0666666666667
"Aberdeenshire","S12000034","2019-2020",79.3333333333333
"Angus","S12000041","2005-2006",75.9
"Angus","S12000041","2006-2007",76.9333333333333
"Angus","S12000041","2007-2008",77.5333333333333
"Angus","S12000041","2008-2009",76.3333333333333
"Angus","S12000041","2009-2010",74.8333333333333
"Angus","S12000041","2010-2011",73
"Angus","S12000041","2011-2012",72.5
"Angus","S12000041","2012-2013",72.3333333333333
"Angus","S12000041","2013-2014",72.5666666666667
"Angus","S12000041","2014-2015",73.5666666666667
"Angus","S12000041","2015-2016",75.0333333333333
"Angus","S12000041","2016-2017",76
"Angus","S12000041","2017-2018",76.3333333333333
"Angus","S12000041","2018-2019",76.3
"Angus","S12000041","2019-2020",75.0666666666667
"Argyll and Bute","S12000035","2005-2006",76.8
"Argyll and Bute","S12000035","2006-2007",77.5
"Argyll and Bute","S12000035","2007-2008",76.5666666666667
"Argyll and Bute","S12000035","2008-2009",74.9
"Argyll and Bute","S12000035","2009-2010",73.2666666666667
"Argyll and Bute","S12000035","2010-2011",72.3666666666667
"Argyll and Bute","S12000035","2011-2012",71.4666666666667
"Argyll and Bute","S12000035","2012-2013",72.1333333333333
"Argyll and Bute","S12000035","2013-2014",73.8333333333333
"Argyll and Bute","S12000035","2014-2015",75.5666666666667
"Argyll and Bute","S12000035","2015-2016",76.8666666666667
"Argyll and Bute","S12000035","2016-2017",77
"Argyll and Bute","S12000035","2017-2018",76.4666666666667
"Argyll and Bute","S12000035","2018-2019",75.6
"Argyll and Bute","S12000035","2019-2020",75.2
"City of Edinburgh","S12000036","2005-2006",75
"City of Edinburgh","S12000036","2006-2007",74.7333333333333
"City of Edinburgh","S12000036","2007-2008",74.8333333333333
"City of Edinburgh","S12000036","2008-2009",73.1333333333333
"City of Edinburgh","S12000036","2009-2010",72.1
"City of Edinburgh","S12000036","2010-2011",70.6
"City of Edinburgh","S12000036","2011-2012",71.6
"City of Edinburgh","S12000036","2012-2013",71.9666666666667
"City of Edinburgh","S12000036","2013-2014",72.8
"City of Edinburgh","S12000036","2014-2015",72.5333333333333
"City of Edinburgh","S12000036","2015-2016",72.8333333333333
"City of Edinburgh","S12000036","2016-2017",73.5333333333333
"City of Edinburgh","S12000036","2017-2018",75.3666666666667
"City of Edinburgh","S12000036","2018-2019",76.1333333333333
"City of Edinburgh","S12000036","2019-2020",76.0333333333333
"Clackmannanshire","S12000005","2005-2006",70.9
"Clackmannanshire","S12000005","2006-2007",69.7666666666667
"Clackmannanshire","S12000005","2007-2008",69.2
"Clackmannanshire","S12000005","2008-2009",69.4333333333333
"Clackmannanshire","S12000005","2009-2010",71.6666666666667
"Clackmannanshire","S12000005","2010-2011",71
"Clackmannanshire","S12000005","2011-2012",68.9333333333333
"Clackmannanshire","S12000005","2012-2013",66.4
"Clackmannanshire","S12000005","2013-2014",67.0666666666667
"Clackmannanshire","S12000005","2014-2015",68.4666666666667
"Clackmannanshire","S12000005","2015-2016",69.1333333333333
"Clackmannanshire","S12000005","2016-2017",70.7666666666667
"Clackmannanshire","S12000005","2017-2018",71.8666666666667
"Clackmannanshire","S12000005","2018-2019",73.0666666666667
"Clackmannanshire","S12000005","2019-2020",73.0666666666667
"Dumfries and Galloway","S12000006","2005-2006",76.0666666666667
"Dumfries and Galloway","S12000006","2006-2007",75.9
"Dumfries and Galloway","S12000006","2007-2008",74.7666666666667
"Dumfries and Galloway","S12000006","2008-2009",74.1
"Dumfries and Galloway","S12000006","2009-2010",72.6
"Dumfries and Galloway","S12000006","2010-2011",71
"Dumfries and Galloway","S12000006","2011-2012",69.1333333333333
"Dumfries and Galloway","S12000006","2012-2013",69.3666666666667
"Dumfries and Galloway","S12000006","2013-2014",70.8
"Dumfries and Galloway","S12000006","2014-2015",73.3333333333333
"Dumfries and Galloway","S12000006","2015-2016",74.2666666666667
"Dumfries and Galloway","S12000006","2016-2017",75.5
"Dumfries and Galloway","S12000006","2017-2018",74.3666666666667
"Dumfries and Galloway","S12000006","2018-2019",74.4
"Dumfries and Galloway","S12000006","2019-2020",71.2666666666667
"Dundee City","S12000042","2005-2006",69.0666666666667
"Dundee City","S12000042","2006-2007",70
"Dundee City","S12000042","2007-2008",69.3333333333333
"Dundee City","S12000042","2008-2009",68.6666666666667
"Dundee City","S12000042","2009-2010",68.4
"Dundee City","S12000042","2010-2011",67.9
"Dundee City","S12000042","2011-2012",67.1666666666667
"Dundee City","S12000042","2012-2013",63.6333333333333
"Dundee City","S12000042","2013-2014",63.5
"Dundee City","S12000042","2014-2015",62.6666666666667
"Dundee City","S12000042","2015-2016",64.7333333333333
"Dundee City","S12000042","2016-2017",64.3
"Dundee City","S12000042","2017-2018",65.3
"Dundee City","S12000042","2018-2019",67.2333333333333
"Dundee City","S12000042","2019-2020",69.6333333333333
"East Ayrshire","S12000008","2005-2006",68.9
"East Ayrshire","S12000008","2006-2007",69.7666666666667
"East Ayrshire","S12000008","2007-2008",70.3
"East Ayrshire","S12000008","2008-2009",70
"East Ayrshire","S12000008","2009-2010",69.6666666666667
"East Ayrshire","S12000008","2010-2011",68.6
"East Ayrshire","S12000008","2011-2012",68.2666666666667
"East Ayrshire","S12000008","2012-2013",67.7666666666667
"East Ayrshire","S12000008","2013-2014",68.3666666666667
"East Ayrshire","S12000008","2014-2015",68.7666666666667
"East Ayrshire","S12000008","2015-2016",68.1
"East Ayrshire","S12000008","2016-2017",68.9666666666667
"East Ayrshire","S12000008","2017-2018",69.7333333333333
"East Ayrshire","S12000008","2018-2019",71.5
"East Ayrshire","S12000008","2019-2020",72.1666666666667
"East Dunbartonshire","S12000045","2005-2006",78.7333333333333
"East Dunbartonshire","S12000045","2006-2007",78.0333333333333
"East Dunbartonshire","S12000045","2007-2008",76.6
"East Dunbartonshire","S12000045","2008-2009",75.2333333333333
"East Dunbartonshire","S12000045","2009-2010",74
"East Dunbartonshire","S12000045","2010-2011",73.4
"East Dunbartonshire","S12000045","2011-2012",73.6666666666667
"East Dunbartonshire","S12000045","2012-2013",74.6
"East Dunbartonshire","S12000045","2013-2014",74.5666666666667
"East Dunbartonshire","S12000045","2014-2015",74.5
"East Dunbartonshire","S12000045","2015-2016",74.6
"East Dunbartonshire","S12000045","2016-2017",76.0333333333333
"East Dunbartonshire","S12000045","2017-2018",76.8666666666667
"East Dunbartonshire","S12000045","2018-2019",76.9333333333333
"East Dunbartonshire","S12000045","2019-2020",76.4333333333333
"East Lothian","S12000010","2005-2006",76.4666666666667
"East Lothian","S12000010","2006-2007",76.5666666666667
"East Lothian","S12000010","2007-2008",76.2333333333333
"East Lothian","S12000010","2008-2009",75.4333333333333
