"","CPP","Year","value","Indicator","Type"
"1","Aberdeen City",2013,56582,"Out of Work Benefits","Raw"
"2","Aberdeen City",2014,55485,"Out of Work Benefits","Raw"
"3","Aberdeen City",2015,55208,"Out of Work Benefits","Raw"
"4","Aberdeen City",2016,56819,"Out of Work Benefits","Raw"
"5","Aberdeen City",2017,57178,"Out of Work Benefits","Raw"
"6","Aberdeen City",2018,56218,"Out of Work Benefits","Raw"
"7","Aberdeen City",2019,55860,"Out of Work Benefits","Raw"
"8","Aberdeen City",2020,63136,"Out of Work Benefits","Raw"
"9","Aberdeen City",2021,65808,"Out of Work Benefits","Raw"
"10","Aberdeenshire",2013,65678,"Out of Work Benefits","Raw"
"11","Aberdeenshire",2014,65360,"Out of Work Benefits","Raw"
"12","Aberdeenshire",2015,65600,"Out of Work Benefits","Raw"
"13","Aberdeenshire",2016,67682,"Out of Work Benefits","Raw"
"14","Aberdeenshire",2017,68358,"Out of Work Benefits","Raw"
"15","Aberdeenshire",2018,67967,"Out of Work Benefits","Raw"
"16","Aberdeenshire",2019,68301,"Out of Work Benefits","Raw"
"17","Aberdeenshire",2020,74746,"Out of Work Benefits","Raw"
"18","Aberdeenshire",2021,76703,"Out of Work Benefits","Raw"
"19","Angus",2013,38975,"Out of Work Benefits","Raw"
"20","Angus",2014,38629,"Out of Work Benefits","Raw"
"21","Angus",2015,38759,"Out of Work Benefits","Raw"
"22","Angus",2016,39171,"Out of Work Benefits","Raw"
"23","Angus",2017,39359,"Out of Work Benefits","Raw"
"24","Angus",2018,39420,"Out of Work Benefits","Raw"
"25","Angus",2019,39738,"Out of Work Benefits","Raw"
"26","Angus",2020,43002,"Out of Work Benefits","Raw"
"27","Angus",2021,43410,"Out of Work Benefits","Raw"
"28","Argyll and Bute",2013,31541,"Out of Work Benefits","Raw"
"29","Argyll and Bute",2014,31203,"Out of Work Benefits","Raw"
"30","Argyll and Bute",2015,30900,"Out of Work Benefits","Raw"
"31","Argyll and Bute",2016,30613,"Out of Work Benefits","Raw"
"32","Argyll and Bute",2017,30636,"Out of Work Benefits","Raw"
"33","Argyll and Bute",2018,30379,"Out of Work Benefits","Raw"
"34","Argyll and Bute",2019,30383,"Out of Work Benefits","Raw"
"35","Argyll and Bute",2020,33280,"Out of Work Benefits","Raw"
"36","Argyll and Bute",2021,33093,"Out of Work Benefits","Raw"
"37","City of Edinburgh",2013,134166,"Out of Work Benefits","Raw"
"38","City of Edinburgh",2014,132414,"Out of Work Benefits","Raw"
"39","City of Edinburgh",2015,130172,"Out of Work Benefits","Raw"
"40","City of Edinburgh",2016,129318,"Out of Work Benefits","Raw"
"41","City of Edinburgh",2017,127855,"Out of Work Benefits","Raw"
"42","City of Edinburgh",2018,126092,"Out of Work Benefits","Raw"
"43","City of Edinburgh",2019,125133,"Out of Work Benefits","Raw"
"44","City of Edinburgh",2020,142747,"Out of Work Benefits","Raw"
"45","City of Edinburgh",2021,144382,"Out of Work Benefits","Raw"
"46","Clackmannanshire",2013,17822,"Out of Work Benefits","Raw"
"47","Clackmannanshire",2014,17730,"Out of Work Benefits","Raw"
"48","Clackmannanshire",2015,17460,"Out of Work Benefits","Raw"
"49","Clackmannanshire",2016,17686,"Out of Work Benefits","Raw"
"50","Clackmannanshire",2017,17660,"Out of Work Benefits","Raw"
"51","Clackmannanshire",2018,17849,"Out of Work Benefits","Raw"
"52","Clackmannanshire",2019,17843,"Out of Work Benefits","Raw"
"53","Clackmannanshire",2020,19419,"Out of Work Benefits","Raw"
"54","Clackmannanshire",2021,19456,"Out of Work Benefits","Raw"
"55","Dumfries and Galloway",2013,56654,"Out of Work Benefits","Raw"
"56","Dumfries and Galloway",2014,55892,"Out of Work Benefits","Raw"
"57","Dumfries and Galloway",2015,55583,"Out of Work Benefits","Raw"
"58","Dumfries and Galloway",2016,55754,"Out of Work Benefits","Raw"
"59","Dumfries and Galloway",2017,55176,"Out of Work Benefits","Raw"
"60","Dumfries and Galloway",2018,54842,"Out of Work Benefits","Raw"
"61","Dumfries and Galloway",2019,55587,"Out of Work Benefits","Raw"
"62","Dumfries and Galloway",2020,60290,"Out of Work Benefits","Raw"
"63","Dumfries and Galloway",2021,59986,"Out of Work Benefits","Raw"
"64","Dundee City",2013,53043,"Out of Work Benefits","Raw"
"65","Dundee City",2014,52182,"Out of Work Benefits","Raw"
"66","Dundee City",2015,51432,"Out of Work Benefits","Raw"
"67","Dundee City",2016,51153,"Out of Work Benefits","Raw"
"68","Dundee City",2017,50760,"Out of Work Benefits","Raw"
"69","Dundee City",2018,50220,"Out of Work Benefits","Raw"
"70","Dundee City",2019,49994,"Out of Work Benefits","Raw"
"71","Dundee City",2020,54419,"Out of Work Benefits","Raw"
"72","Dundee City",2021,54658,"Out of Work Benefits","Raw"
"73","East Ayrshire",2013,44704,"Out of Work Benefits","Raw"
"74","East Ayrshire",2014,43686,"Out of Work Benefits","Raw"
"75","East Ayrshire",2015,43062,"Out of Work Benefits","Raw"
"76","East Ayrshire",2016,42476,"Out of Work Benefits","Raw"
"77","East Ayrshire",2017,42405,"Out of Work Benefits","Raw"
"78","East Ayrshire",2018,42491,"Out of Work Benefits","Raw"
"79","East Ayrshire",2019,42821,"Out of Work Benefits","Raw"
"80","East Ayrshire",2020,47215,"Out of Work Benefits","Raw"
"81","East Ayrshire",2021,47294,"Out of Work Benefits","Raw"
"82","East Dunbartonshire",2013,32719,"Out of Work Benefits","Raw"
"83","East Dunbartonshire",2014,32545,"Out of Work Benefits","Raw"
"84","East Dunbartonshire",2015,32516,"Out of Work Benefits","Raw"
"85","East Dunbartonshire",2016,32639,"Out of Work Benefits","Raw"
"86","East Dunbartonshire",2017,32793,"Out of Work Benefits","Raw"
"87","East Dunbartonshire",2018,32983,"Out of Work Benefits","Raw"
"88","East Dunbartonshire",2019,32926,"Out of Work Benefits","Raw"
"89","East Dunbartonshire",2020,35469,"Out of Work Benefits","Raw"
"90","East Dunbartonshire",2021,35299,"Out of Work Benefits","Raw"
"91","East Lothian",2013,31817,"Out of Work Benefits","Raw"
"92","East Lothian",2014,31438,"Out of Work Benefits","Raw"
"93","East Lothian",2015,31262,"Out of Work Benefits","Raw"
"94","East Lothian",2016,31404,"Out of Work Benefits","Raw"
"95","East Lothian",2017,32169,"Out of Work Benefits","Raw"
"96","East Lothian",2018,32530,"Out of Work Benefits","Raw"
"97","East Lothian",2019,32456,"Out of Work Benefits","Raw"
"98","East Lothian",2020,36180,"Out of Work Benefits","Raw"
"99","East Lothian",2021,36242,"Out of Work Benefits","Raw"
"100","East Renfrewshire",2013,26390,"Out of Work Benefits","Raw"
"101","East Renfrewshire",2014,26193,"Out of Work Benefits","Raw"
"102","East Renfrewshire",2015,26005,"Out of Work Benefits","Raw"
"103","East Renfrewshire",2016,25956,"Out of Work Benefits","Raw"
"104","East Renfrewshire",2017,26167,"Out of Work Benefits","Raw"
"105","East Renfrewshire",2018,25998,"Out of Work Benefits","Raw"
"106","East Renfrewshire",2019,25988,"Out of Work Benefits","Raw"
"107","East Renfrewshire",2020,28297,"Out of Work Benefits","Raw"
"108","East Renfrewshire",2021,28104,"Out of Work Benefits","Raw"
"109","Falkirk",2013,50016,"Out of Work Benefits","Raw"
"110","Falkirk",2014,49376,"Out of Work Benefits","Raw"
"111","Falkirk",2015,48956,"Out of Work Benefits","Raw"
"112","Falkirk",2016,49157,"Out of Work Benefits","Raw"
"113","Falkirk",2017,48877,"Out of Work Benefits","Raw"
"114","Falkirk",2018,48788,"Out of Work Benefits","Raw"
"115","Falkirk",2019,49314,"Out of Work Benefits","Raw"
"116","Falkirk",2020,54652,"Out of Work Benefits","Raw"
