"","CPP","Year","value","Indicator","Type"
"1","Aberdeen City","2010/11",77.6817449502846,"Primary 1 Body Mass Index","Raw"
"2","Aberdeen City","2011/12",78.1375510491081,"Primary 1 Body Mass Index","Raw"
"3","Aberdeen City","2012/13",76.2365138592623,"Primary 1 Body Mass Index","Raw"
"4","Aberdeen City","2013/14",76.5953700964226,"Primary 1 Body Mass Index","Raw"
"5","Aberdeen City","2014/15",75.7976894641031,"Primary 1 Body Mass Index","Raw"
"6","Aberdeen City","2015/16",76.8919937043589,"Primary 1 Body Mass Index","Raw"
"7","Aberdeen City","2016/17",76.3311875190239,"Primary 1 Body Mass Index","Raw"
"8","Aberdeen City","2017/18",77.4236139288996,"Primary 1 Body Mass Index","Raw"
"9","Aberdeen City","2018/19",74.956732259099,"Primary 1 Body Mass Index","Raw"
"10","Aberdeenshire","2010/11",78.5987545785784,"Primary 1 Body Mass Index","Raw"
"11","Aberdeenshire","2011/12",78.104068745386,"Primary 1 Body Mass Index","Raw"
"12","Aberdeenshire","2012/13",76.6741732336065,"Primary 1 Body Mass Index","Raw"
"13","Aberdeenshire","2013/14",76.4977453559425,"Primary 1 Body Mass Index","Raw"
"14","Aberdeenshire","2014/15",76.062925986028,"Primary 1 Body Mass Index","Raw"
"15","Aberdeenshire","2015/16",76.5776747746738,"Primary 1 Body Mass Index","Raw"
"16","Aberdeenshire","2016/17",76.4741796858277,"Primary 1 Body Mass Index","Raw"
"17","Aberdeenshire","2017/18",77.0621845830057,"Primary 1 Body Mass Index","Raw"
"18","Angus","2003/04",77.1502722657289,"Primary 1 Body Mass Index","Raw"
"19","Angus","2004/05",75.7033276287944,"Primary 1 Body Mass Index","Raw"
"20","Angus","2005/06",76.1054470504479,"Primary 1 Body Mass Index","Raw"
"21","Angus","2006/07",77.6017982370762,"Primary 1 Body Mass Index","Raw"
"22","Angus","2007/08",78.289028468094,"Primary 1 Body Mass Index","Raw"
"23","Angus","2008/09",77.3651214354985,"Primary 1 Body Mass Index","Raw"
"24","Angus","2009/10",74.7917298846631,"Primary 1 Body Mass Index","Raw"
"25","Angus","2010/11",74.7217807708001,"Primary 1 Body Mass Index","Raw"
"26","Angus","2011/12",75.9328770511006,"Primary 1 Body Mass Index","Raw"
"27","Angus","2012/13",76.6946678905886,"Primary 1 Body Mass Index","Raw"
"28","Angus","2013/14",77.011236730198,"Primary 1 Body Mass Index","Raw"
"29","Angus","2014/15",76.6989188606283,"Primary 1 Body Mass Index","Raw"
"30","Angus","2015/16",76.8011867697954,"Primary 1 Body Mass Index","Raw"
"31","Angus","2016/17",76.7147582928792,"Primary 1 Body Mass Index","Raw"
"32","Angus","2017/18",76.1444081317665,"Primary 1 Body Mass Index","Raw"
"33","Argyll and Bute","2009/10",72.6560428702134,"Primary 1 Body Mass Index","Raw"
